dataset,num_tasks,beta,method,num_runs,seeds,mean,std,mean_std_percent,runs
cifar100,5,0.5,+GDR,1,1,0.4329,0.0000,43.29±0.00,paper_cifar100_5task_beta05_local_replay_gdr_paper_seed1
cifar100,5,0.5,+GDR+TTS,1,1,0.3488,0.0000,34.88±0.00,paper_cifar100_5task_beta05_local_replay_gdr_tts_paper_seed1
cifar100,5,0.5,+TTS,1,1,0.1990,0.0000,19.90±0.00,paper_cifar100_5task_beta05_local_replay_tts_seed1
cifar100,5,0.5,CBDR+Adaptive,1,1,0.4283,0.0000,42.83±0.00,paper_cifar100_5task_beta05_cbdr_adaptive_reply_seed1
cifar100,5,0.5,Exemplar-based Replay,3,"1,2,3",0.2284,0.0474,22.84±4.74,paper_cifar100_5task_beta05_local_replay_seed1;paper_cifar100_5task_beta05_local_replay_seed2;paper_cifar100_5task_beta05_local_replay_seed3
cifar100,5,0.5,Finetune,3,"1,2,3",0.1462,0.0218,14.62±2.18,paper_cifar100_5task_beta05_finetune_seed1;paper_cifar100_5task_beta05_finetune_seed2;paper_cifar100_5task_beta05_finetune_seed3
cifar100,5,1.0,+GDR,1,1,0.4333,0.0000,43.33±0.00,paper_cifar100_5task_beta10_local_replay_gdr_paper_seed1
cifar100,5,1.0,+TTS,1,1,0.2184,0.0000,21.84±0.00,paper_cifar100_5task_beta10_local_replay_tts_seed1
cifar100,5,1.0,CBDR+Adaptive,1,1,0.4323,0.0000,43.23±0.00,paper_cifar100_5task_beta10_cbdr_adaptive_reply_seed1
cifar100,5,1.0,Exemplar-based Replay,3,"1,2,3",0.2257,0.0412,22.57±4.12,paper_cifar100_5task_beta10_local_replay_seed1;paper_cifar100_5task_beta10_local_replay_seed2;paper_cifar100_5task_beta10_local_replay_seed3
cifar100,5,1.0,Finetune,3,"1,2,3",0.1466,0.0209,14.66±2.09,paper_cifar100_5task_beta10_finetune_seed1;paper_cifar100_5task_beta10_finetune_seed2;paper_cifar100_5task_beta10_finetune_seed3
cifar100,10,0.1,+GDR,1,1,0.3190,0.0000,31.90±0.00,paper_cifar100_10task_beta01_local_replay_gdr_paper_seed1
cifar100,10,0.1,CBDR+Adaptive,1,1,0.3227,0.0000,32.27±0.00,paper_cifar100_10task_beta01_cbdr_adaptive_reply_seed1
cifar100,10,0.1,Exemplar-based Replay,3,"1,2,3",0.1476,0.0318,14.76±3.18,paper_cifar100_10task_beta01_local_replay_seed1;paper_cifar100_10task_beta01_local_replay_seed2;paper_cifar100_10task_beta01_local_replay_seed3
cifar100,10,0.1,Finetune,3,"1,2,3",0.0664,0.0087,6.64±0.87,paper_cifar100_10task_beta01_finetune_seed1;paper_cifar100_10task_beta01_finetune_seed2;paper_cifar100_10task_beta01_finetune_seed3
cifar100,10,0.5,+GDR,1,1,0.3545,0.0000,35.45±0.00,paper_cifar100_10task_beta05_local_replay_gdr_paper_seed1
cifar100,10,0.5,Exemplar-based Replay,3,"1,2,3",0.1577,0.0208,15.77±2.08,paper_cifar100_10task_beta05_local_replay_seed1;paper_cifar100_10task_beta05_local_replay_seed2;paper_cifar100_10task_beta05_local_replay_seed3
cifar100,10,0.5,Finetune,3,"1,2,3",0.0773,0.0047,7.73±0.47,paper_cifar100_10task_beta05_finetune_seed1;paper_cifar100_10task_beta05_finetune_seed2;paper_cifar100_10task_beta05_finetune_seed3
cifar100,10,1.0,+GDR,1,1,0.3602,0.0000,36.02±0.00,paper_cifar100_10task_beta10_local_replay_gdr_paper_seed1
cifar100,10,1.0,Exemplar-based Replay,3,"1,2,3",0.1558,0.0277,15.58±2.77,paper_cifar100_10task_beta10_local_replay_seed1;paper_cifar100_10task_beta10_local_replay_seed2;paper_cifar100_10task_beta10_local_replay_seed3
cifar100,10,1.0,Finetune,3,"1,2,3",0.0789,0.0077,7.89±0.77,paper_cifar100_10task_beta10_finetune_seed1;paper_cifar100_10task_beta10_finetune_seed2;paper_cifar100_10task_beta10_finetune_seed3
